Date;High (kg);Low (kg);Close (kg);;High (troy oz);Low (troy oz);Close (troy oz)
26/06/2023 00:00;30199.20;29556.18;29797.31;;939.30;919.30;926.80
24/06/2023 00:00;29750.69;29599.75;29733.01;;925.35;920.66;924.80
22/06/2023 00:00;30582.27;29558.43;29599.75;;951.21;919.37;920.66
20/06/2023 00:00;31528.63;30405.93;30483.09;;980.65;945.73;948.13
18/06/2023 00:00;31786.64;31409.67;31482.17;;988.68;976.95;979.20
16/06/2023 00:00;32170.84;31449.30;31768.80;;1000.62;978.18;988.12
14/06/2023 00:00;31951.09;31062.44;31876.66;;993.79;966.15;991.47
12/06/2023 00:00;32525.79;31449.86;31629.90;;1011.67;978.20;983.80
10/06/2023 00:00;32544.59;32478.68;32504.40;;1012.25;1010.20;1011.00
08/06/2023 00:00;33158.67;32180.57;32535.59;;1031.35;1000.93;1011.97
06/06/2023 00:00;33727.34;32848.74;32961.99;;1049.04;1021.71;1025.23
04/06/2023 00:00;33441.28;32329.50;33213.33;;1040.14;1005.56;1033.05
02/06/2023 00:00;32809.19;32206.21;32385.21;;1020.48;1001.73;1007.29
31/05/2023 00:00;33011.58;32070.69;32444.93;;1026.77;997.51;1009.15
29/05/2023 00:00;33527.60;32747.87;32965.77;;1042.82;1018.57;1025.35
27/05/2023 00:00;33007.40;32885.79;32985.06;;1026.64;1022.86;1025.95
25/05/2023 00:00;33364.44;32797.86;32969.30;;1037.75;1020.13;1025.46
23/05/2023 00:00;34506.59;32906.29;33068.33;;1073.27;1023.50;1028.54
21/05/2023 00:00;34797.24;34122.55;34376.06;;1082.32;1061.33;1069.21
19/05/2023 00:00;34680.61;33835.12;34315.78;;1078.69;1052.39;1067.34
17/05/2023 00:00;34743.87;33797.43;33922.74;;1080.66;1051.22;1055.12
15/05/2023 00:00;34556.43;34015.25;34253.41;;1074.83;1057.99;1065.40
13/05/2023 00:00;34115.00;33884.31;34115.00;;1061.10;1053.92;1061.10
11/05/2023 00:00;36086.64;33884.31;33884.31;;1122.42;1053.92;1053.92
09/05/2023 00:00;36282.44;34401.94;35959.00;;1128.51;1070.02;1118.45
07/05/2023 00:00;35009.51;34075.29;34622.01;;1088.92;1059.86;1076.86
05/05/2023 00:00;34196.98;33408.00;34144.58;;1063.64;1039.10;1062.02
03/05/2023 00:00;34621.85;33345.31;33685.14;;1076.86;1037.16;1047.72
01/05/2023 00:00;35107.09;33611.19;34293.75;;1091.95;1045.42;1066.65
00:00:00 29-Apr-2023;34696.68;34440.52;34440.52;;1079.19;1071.22;1071.22
00:00:00 27-Apr-2023;35439.93;34253.24;34621.21;;1102.31;1065.39;1076.84
00:00:00 25-Apr-2023;35691.35;34325.58;35163.91;;1110.13;1067.64;1093.72
00:00:00 23-Apr-2023;36257.36;34898.67;35144.95;;1127.73;1085.47;1093.13
00:00:00 21-Apr-2023;36472.29;35035.47;36257.36;;1134.42;1089.72;1127.73
00:00:00 19-Apr-2023;35388.25;34127.21;35285.61;;1100.70;1061.47;1097.51
00:00:00 17-Apr-2023;35014.09;33394.82;34901.64;;1089.06;1038.70;1085.56
00:00:00 15-Apr-2023;33695.75;33509.44;33524.55;;1048.05;1042.26;1042.73
00:00:00 13-Apr-2023;34070.63;32653.26;33653.31;;1059.72;1015.63;1046.73
00:00:00 11-Apr-2023;32969.63;31985.65;32873.50;;1025.47;994.86;1022.48
00:00:00 09-Apr-2023;32747.14;31804.16;32124.46;;1018.55;989.22;999.18
00:00:00 07-Apr-2023;32504.40;32497.01;32504.40;;1011.00;1010.77;1011.00
00:00:00 05-Apr-2023;33118.64;32013.46;32497.01;;1030.10;995.73;1010.77
00:00:00 03-Apr-2023;32933.62;31545.99;32909.66;;1024.35;981.19;1023.60
00:00:00 01-Apr-2023;31973.92;31714.30;31717.52;;994.50;986.42;986.53
30/03/2023 00:00;32141.18;31045.73;31973.60;;999.70;965.63;994.49
28/03/2023 00:00;31557.08;30729.36;31118.87;;981.53;955.79;967.91
26/03/2023 00:00;31644.53;30979.98;31496.48;;984.25;963.59;979.65
24/03/2023 00:00;31889.36;30926.45;31644.53;;991.87;961.92;984.25
22/03/2023 00:00;32165.94;31346.01;31778.12;;1000.47;974.97;988.41
20/03/2023 00:00;32282.24;31000.63;31385.40;;1004.09;964.23;976.20
18/03/2023 00:00;31584.89;31361.29;31415.94;;982.40;975.45;977.14
16/03/2023 00:00;32131.86;30931.11;31481.45;;999.41;962.07;979.18
14/03/2023 00:00;32205.40;30603.33;31038.17;;1001.70;951.87;965.40
12/03/2023 00:00;32359.81;30847.36;32162.48;;1006.50;959.46;1000.36
10/03/2023 00:00;31354.85;30055.48;30955.86;;975.24;934.83;962.83
08/03/2023 00:00;30937.54;30029.44;30433.25;;962.27;934.02;946.58
06/03/2023 00:00;31571.55;29985.15;30090.21;;981.98;932.64;935.91
04/03/2023 00:00;31582.96;31394.56;31399.38;;982.34;976.48;976.63
02/03/2023 00:00;31651.37;30527.54;31582.96;;984.47;949.51;982.34
28/02/2023 00:00;31259.21;30039.57;30822.60;;972.27;934.34;958.69
26/02/2023 00:00;30686.60;29110.25;30194.37;;954.46;905.43;939.15
24/02/2023 00:00;30653.16;29278.72;29335.47;;953.42;910.67;912.44
22/02/2023 00:00;31003.69;30158.20;30530.35;;964.32;938.02;949.60
20/02/2023 00:00;30547.55;29514.06;30472.16;;950.14;917.99;947.79
18/02/2023 00:00;29653.60;29569.20;29574.19;;922.33;919.70;919.86
16/02/2023 00:00;29987.81;29255.57;29634.15;;932.73;909.95;921.73
14/02/2023 00:00;30934.48;29447.99;29626.59;;962.17;915.93;921.49
12/02/2023 00:00;30865.84;30176.29;30832.73;;960.03;938.59;959.01
10/02/2023 00:00;31179.15;30452.87;30488.31;;969.78;947.19;948.29
08/02/2023 00:00;31910.58;30728.40;30840.76;;992.53;955.76;959.25
06/02/2023 00:00;31750.87;31046.37;31518.74;;987.56;965.65;980.34
04/02/2023 00:00;31611.02;31292.40;31478.07;;983.21;973.30;979.08
02/02/2023 00:00;33391.12;31346.09;31611.02;;1038.58;974.97;983.21
00:00:00 31-Jan-2023;32870.52;31955.27;32543.79;;1022.39;993.92;1012.23
00:00:00 29-Jan-2023;32883.78;32425.64;32561.15;;1022.80;1008.55;1012.76
00:00:00 27-Jan-2023;32983.29;32214.57;32595.07;;1025.89;1001.99;1013.82
00:00:00 25-Jan-2023;34117.57;32741.68;32930.24;;1061.18;1018.38;1024.24
00:00:00 23-Jan-2023;34134.45;33132.63;34022.56;;1061.70;1030.54;1058.22
00:00:00 21-Jan-2023;33732.24;33586.28;33642.54;;1049.19;1044.65;1046.40
00:00:00 19-Jan-2023;33916.79;32594.75;33586.28;;1054.93;1013.81;1044.65
00:00:00 17-Jan-2023;34667.19;33257.38;33576.79;;1078.27;1034.42;1044.35
00:00:00 15-Jan-2023;34640.50;33976.43;34305.33;;1077.44;1056.79;1067.02
00:00:00 13-Jan-2023;34662.52;33783.84;34376.22;;1078.12;1050.79;1069.22
00:00:00 11-Jan-2023;35537.18;34123.52;34493.73;;1105.33;1061.36;1072.87
00:00:00 09-Jan-2023;35504.87;34534.64;34809.29;;1104.32;1074.15;1082.69
00:00:00 07-Jan-2023;35485.10;35156.84;35416.62;;1103.71;1093.50;1101.58
00:00:00 05-Jan-2023;35237.38;33743.33;35183.85;;1096.01;1049.53;1094.34
00:00:00 03-Jan-2023;35293.16;34374.29;34683.74;;1097.74;1069.16;1078.78
00:00:00 01-Jan-2023;34862.34;34407.97;34541.07;;1084.34;1070.21;1074.35
00:00:00 30-Dec-2022;34575.88;33782.56;34539.23;;1075.43;1050.76;1074.29
00:00:00 28-Dec-2022;34187.17;32410.52;33847.02;;1063.34;1008.08;1052.76
00:00:00 26-Dec-2022;33315.01;32329.42;32848.74;;1036.21;1005.56;1021.71
00:00:00 24-Dec-2022;33002.74;32946.80;32970.59;;1026.50;1024.76;1025.50
00:00:00 22-Dec-2022;33085.53;31250.69;32946.80;;1029.08;972.01;1024.76
00:00:00 20-Dec-2022;32742.32;31479.84;32279.83;;1018.40;979.13;1004.01
00:00:00 18-Dec-2022;32449.11;31563.03;31686.81;;1009.28;981.72;985.57
00:00:00 16-Dec-2022;32648.60;31877.87;32018.29;;1015.48;991.51;995.88
00:00:00 14-Dec-2022;33412.98;32283.69;32377.41;;1039.26;1004.14;1007.05
00:00:00 12-Dec-2022;33656.69;32106.46;33233.26;;1046.84;998.62;1033.67
00:00:00 10-Dec-2022;33069.21;32769.97;32796.66;;1028.57;1019.26;1020.09
00:00:00 08-Dec-2022;33193.07;32063.78;33069.21;;1032.42;997.30;1028.57
